1285.1115 	DATA 	Keypress: 5
4101.0947 	Level image=bottled_water.jpg 	25
4103.0808 	Level injecting via pump at address 0 	25
4111.0909 	Level Condition: 0 	25
4111.0981 	Level image=bottled_water.jpg 	25
4113.0806 	Level injecting via pump at address 0 	25
4121.0927 	Level Condition: 3 	25
4121.0965 	Level image=tampico.jpg 	25
4123.0806 	Level injecting via pump at address 0 	25
4157.1835 	DATA 	Keypress: 5
4157.2227 	Level Condition: 0 	25
4157.2322 	Level image=bottled_water.jpg 	25
4167.2713 	Level Condition: 1 	25
4167.2787 	Level image=bottled_water.jpg 	25
4177.2167 	Level Condition: 0 	25
4177.2214 	Level image=bottled_water.jpg 	25
4187.2372 	Level Condition: 1 	25
4187.2438 	Level image=bottled_water.jpg 	25
4197.2195 	Level Condition: 3 	25
4197.2233 	Level image=tampico.jpg 	25
4207.2225 	Level Condition: 2 	25
4207.2260 	Level image=tampico.jpg 	25
4217.2254 	Level Condition: 0 	25
4217.2328 	Level image=bottled_water.jpg 	25
4227.2245 	Level Condition: 2 	25
4227.2284 	Level image=tampico.jpg 	25
4237.2250 	Level Condition: 0 	25
4237.2313 	Level image=bottled_water.jpg 	25
4247.2287 	Level Condition: 1 	25
4247.2351 	Level image=bottled_water.jpg 	25
4257.2274 	Level Condition: 1 	25
4257.2331 	Level image=bottled_water.jpg 	25
4267.2293 	Level Condition: 2 	25
4267.2334 	Level image=tampico.jpg 	25
4277.2308 	Level Condition: 2 	25
4277.2343 	Level image=tampico.jpg 	25
4287.2328 	Level Condition: 2 	25
4287.2378 	Level image=tampico.jpg 	25
4297.2316 	Level Condition: 0 	25
4297.2379 	Level image=bottled_water.jpg 	25
4307.2335 	Level Condition: 0 	25
4307.2423 	Level image=bottled_water.jpg 	25
4317.2142 	Level Condition: 3 	25
4317.2173 	Level image=tampico.jpg 	25
4327.2379 	Level Condition: 3 	25
4327.2433 	Level image=tampico.jpg 	25
4337.2171 	Level Condition: 0 	25
4337.2230 	Level image=bottled_water.jpg 	25
4347.2154 	Level Condition: 0 	25
4347.2199 	Level image=bottled_water.jpg 	25
4357.2137 	Level Condition: 2 	25
4357.2172 	Level image=tampico.jpg 	25
4367.2159 	Level Condition: 2 	25
4367.2188 	Level image=tampico.jpg 	25
4377.2141 	Level Condition: 3 	25
4377.2180 	Level image=tampico.jpg 	25
4387.2279 	Level Condition: 2 	25
4387.2316 	Level image=tampico.jpg 	25
